message,true_label,prediction,elapsed_seconds
"Today is Olajide Folasade Janet's birthday. Reply to post on her Timeline or reply 1 to post ""Happy Birthday!"".",spam,spam,2.4083778858184814
Do not love the one who is beautiful for the world but love the one who makes your world beautiful.,spam,ham,2.391584873199463
AlertZAcct:200**001DT:7/25/2014:8:42 PMMC Loc ATM Wdl-70578525    --UNAAB UNAAB MFB DR Amt:3,ham,spam,2.4277801513671875
I want a domain.  Www.promaq.com  please help me check the availability so I can send the cash.,ham,spam,2.4038188457489014
What matters is to live in the present,spam,ham,2.3681788444519043
Dear Mr. ONYEKA,ham,spam,2.4056906700134277
01XXXXXX69 david blessing onyero.gtb,ham,spam,2.3909733295440674
Infomania (noun): The compulsive desire to check or accumulate news & information. Txt VOCAB to 700 to learn more fun words @N50/Wk. Txt STOP to 33111 to OptOut,spam,spam,2.428957223892212
Hello team! I will coord. Folake will teach ns-3 supported by Tosin; i teach Matlab rudiments supported by all. Biodun & Princewill will demonstrate data analysis using their project. Pls see later today for briefing. Thx & God is blessing you.,ham,ham,2.399130344390869
Good day Sir/Ma,ham,ham,2.3654284477233887
Happy birthday to you sir. God bless your days and keep you long for us sir. Wale.,ham,ham,2.4004979133605957
Can we stop by at giant eagle for the connect card on our way home??,ham,ham,2.398583173751831
Dis is folashade.let's make it 6pm.and pls let's meet at d front of d library cos Ill b waiting 4 u der.i'm sorry.call me wen u get der.God bless,ham,spam,2.416992664337158
PUNCH NEWSTHURSDAY,spam,spam,2.389801502227783
AlertZAcct:200**001DT:8/8/2014:2:56 PMPOS Intl- GOOGLE *WhatsApp - 49D3ABDR Amt:161.62Br:Head OfficeBal:13,ham,spam,2.412682056427002
30XXXXXX10 Ayandiran Bolanle Khadijat(first bank),ham,spam,2.3910622596740723
Good day senior Friend,ham,spam,2.398923873901367
help,spam,ham,2.376472234725952
Ameen. Many thanx.,ham,ham,2.4134342670440674
Next time you find yourself in a hopeless situation,spam,spam,2.4030864238739014
We have N200 Airtime for use today,spam,spam,2.395660877227783
GENERAL,ham,spam,2.4037046432495117
Get the Sun Newspaper delivered to your mobile phone everyday! Text SNW to 4900 @N30 weekly.,spam,spam,2.401017665863037
It's Elclassico! Get live Updates on your phone as Barcelona takes on Real Madrid in the Copa Del Rey Cup Final. Dial *244#. Service cost N20 daily,spam,spam,2.416219472885132
Beloved workers. Trust u had a gr8 week.Dis is 2 in4m u dat d date 4 worker's retreat has bn shifted 2 11-13th Feb,ham,spam,2.4062862396240234
WIFI,spam,spam,2.374821662902832
Reg*357786055638095*,spam,spam,2.4069738388061523
Enjoy affordable internet access with 10MB daily Internet plan. Text 104 to 131 to activate for only N100 daily.,spam,spam,2.4065473079681396
A BLESD EVENIN 2U IN D NAME OF D LORD,ham,spam,2.4522783756256104
Medical: Concerned about weight gain in spite of all your efforts to manage your weight? You may have low thyroid hormonal levels. See a doctor for a test.,spam,ham,2.456986427307129
The lord shall supply all your needs according to His riches in glory by Christ Jesus. For more Prayers/Confessions from Rhapsody text  ROR to 5036,spam,spam,2.4311575889587402
Money received.Car already with the mecho with advice to exercise a little more patience just in case a good buyer may come forward,ham,spam,2.434629440307617
Relax. Tell Olamide to flash me when you get home today. I want to talk with all of you OK. Just keep been a Good girl. It's a matter of time. Love u sister,ham,spam,2.4179751873016357
P67,ham,spam,2.376753807067871
Change is not a threat its an opportunity. Transform your business today with money shop. Text YES to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,spam,spam,2.410942792892456
Secure your life from viruses & sickness,spam,spam,2.394930124282837
As the holy month of Ramadan ends,ham,spam,2.3965671062469482
Am reli down....i wll xplain tins 2 u beta 2mrw....wil cum c u in d mrn...am reli nt apy....am at a frnds place,ham,ham,2.3910956382751465
JOKE. Akpos called the president,spam,spam,2.3896119594573975
freshers alive holds today @dewot center by 4pm.pls b reminded dat those who applied 4bursary should com 4 intrview @LFC obantoko by 10am,ham,spam,2.4196159839630127
Am wishin u a very prosperous new year and welcome to 2 016 the year of uncommon reward,ham,spam,2.397815227508545
Sorry about d delay and thanks for participating in planet puzzle on planet TV....this is your airtime. 3911292876318562     3243022258718638.,ham,spam,2.412839889526367
Medical: Constipation can make stools hard,spam,ham,2.4245500564575195
9.06E+14,ham,spam,2.4451682567596436
One hurts you so that you may find someone who can heal you,spam,ham,2.412850856781006
Join us as we celebrate the union between Esther Falana and Bunmi Oluwalana on 17th May @ RCCG Olorunnisola Atitebi Bankole Str,ham,spam,2.4553794860839844
A million and one THANKS is nt enough to appreciate a beautiful Person like u. Txs 4 d luv,ham,spam,2.426506757736206
Pls call me,ham,ham,2.3778889179229736
The road to success is always under construction.You could encounter potholes and delays but you must keep your eye on the goal and keep moving.,spam,ham,2.4129931926727295
Ok. Just want to be sure that's what u want to do. Will be there at about 9:15 or so,ham,ham,2.40170955657959
Txn Id R140618.2312.210010 to recharge 90 NGN from 7087214890 is successful. New balance is 90.02 NGN,ham,spam,2.420743465423584
Missing someone you love? Send them Missing You Quotes so that they will know that you miss them. To Enjoy 5 days FREE Alerts on trial,spam,spam,2.406917095184326
Stand a chance to Win a trip to Obudu Cattle Ranch and Colouful Calabar Carnival for 6 nights. Text XMAS to 35050 at N100 only!,spam,spam,2.47487211227417
Never run out of airtime! Dial *500# to subscribe for automatic credit.,spam,spam,2.4351627826690674
Mr Solomon - 07XXXXXXX04,ham,spam,2.437854766845703
Www.thisisgarena.com www.kevronconsultingltd.com www.upgrade101online.com  www.bmb.jcifunaab.com use this ones as reference for now,spam,spam,2.4369280338287354
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000005087426¿USSDAvail Bal: NGN107,ham,spam,2.419189214706421
Olabisi I had left the place when your message came in,ham,ham,2.414396047592163
Helooooo Sir.... I need the stuff nw!!!,ham,spam,2.4591071605682373
Evenin sis mi,ham,spam,2.422712564468384
I didn't say I don't love you all I said was that Am not ready and u should give me sometime since u said I Am not d person u love and u kept saying Am lying Fine you can just go,ham,ham,2.441216468811035
Gud morning. pls get d address of d hotel /or how i can get taxi to d hotel n text me wit it.,ham,ham,2.42923903465271
Acct: ******1736Amt: NGN33,ham,spam,2.396411657333374
17232759 03/09/14 22:08 Airtime Purchase 7030058860 to 8000000001 NGN 100 Fail17232755 03/09/14 22:08 Airtime Purchase 7030058860 to 8000000001 NGN 100 Fail,spam,spam,2.464721441268921
on ur way or not? it's getting dark,ham,ham,2.4033567905426025
G-312106 is your Google verification code.,spam,spam,2.4666554927825928
Ok you'll see me now try locate ecobank let's meet there,ham,spam,2.4460699558258057
Need airtime? Top up INSTANTLY with our magic code. Dial *919*Amount# to recharge your phone line. To top up for someone,spam,spam,2.3975114822387695
Www.kevronconsultingltd.com,ham,spam,2.396149158477783
Its tobi,ham,ham,2.3838369846343994
Y'ello! Your data balance is 250.33MB,spam,spam,2.4283130168914795
N100 was transferred to you from the 08068119076 on 19/07/14 07:48 via Share & Sell. Your new account balance is N120.39.,spam,spam,2.406219244003296
May this month deliver unto us all our outstanding victories.(amen). Happy new month brother,ham,ham,2.3791282176971436
Acct name: A.  ambroseAcct num: 00XXXXXX80 bank: gtb,ham,spam,2.404731273651123
Txn Id R140704.1451.220105 to recharge 45 NGN from 7087214890 is successful. New balance is 48.24 NGN,ham,spam,2.4272470474243164
Your FB notifications for Today!!  1-friend¿request,spam,spam,2.3922202587127686
"It is the season to get scriptures inspired by God. Claim 7days free of ""God's Word""",spam,spam,2.392982006072998
What Four Letter Word Begins With F And Ends With K,ham,spam,2.3845114707946777
SMART,spam,spam,2.4025120735168457
Welcome to Year Twenty Sixteen! God is walking with you. Your year shall be full of joy,ham,spam,2.4100868701934814
GOOD DAY MA. PLEASE U SHOULD NOT FORGET MY ENVELOP,ham,spam,2.394772529602051
Sorry i went to d mosque dis is jubril mtn no 0813 940 7909,ham,spam,2.4086649417877197
Name:olayiwola Oluwafolake    Bank - gtb Account No - 00XXXXXX36,ham,spam,2.402003049850464
You transferred N50 to 08XXXXXX508 on 17/06/14 08:46. Your new account balance is N0. Thanks for using Share & Sell.,spam,spam,2.404143810272217
Acct: ******1736Amt: NGN64.00 DrDesc: SI TRANSACTION (DIFFERENT CUSTOMERS)-SMS CHARGE FOR MAY 2014Avail Bal: NGN106,ham,spam,2.400278329849243
3.33E+11,ham,spam,2.372812509536743
Good morning pls do not forget the lamp o . Thanks God bless,ham,ham,2.3864853382110596
oyegunleadedayo@yahoo.com,ham,spam,2.405576705932617
Please call me. Watch Man U vs West Brom on Sat 7 November,spam,spam,2.4050350189208984
Did u plan to see or have seen a prof Wosu on your ID?,ham,ham,2.3849709033966064
Please call me. I Love you. Watch Chelsea vs West Ham,ham,spam,2.4016385078430176
williams Frank 07xxxxxxx344...akplor kingsley 081XXXXXX61,ham,spam,2.406676769256592
9.30E+14,ham,spam,2.40195894241333
Does your number end in 9?TODAY 25/07you're chosen to participate for the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777!N100/SMS,spam,spam,2.4120399951934814
Dude,ham,ham,2.3678767681121826
Its not the strongest of species that survives,spam,ham,2.3889942169189453
Ese o. Shey e ti ka darda sha,ham,spam,2.4248528480529785
Amen and Amen. Tnx 4 ever bn there,ham,ham,2.3846216201782227
Acct: ******2491Amt: NGN200.00 DrDesc: POS-GTBank EBranch UNAAB   Ogun    OGNG STAN9999006519Avail Bal: NGN7,ham,spam,2.4235072135925293
Full Crunch: Lie on your back and raise your legs,spam,ham,2.3786327838897705
Dr adesina gave us apptmnt for 12pm in his office,ham,ham,2.386423349380493
Get the latest sports news daily ranging from football,spam,spam,2.4193689823150635
When comparing your life with others,spam,ham,2.3491463661193848
PUNCH NEWSSUNDAY,spam,spam,2.415170431137085
Y.ello Peeps!Watch the exciting MTN Project Fame 7.0 Elimination Show on Sat: NTA(5:30-6:30pm),spam,spam,2.409014940261841
A good relation does not depends on how good understanding we have,spam,ham,2.389882802963257
Are u not hungry yet?,ham,ham,2.3796660900115967
May d peace of God Almighty b wit,ham,ham,2.389612913131714
Pls bring d cooler....or bring d ewa...pls call me,ham,ham,2.4214236736297607
Each moment in a day has  its own value,ham,ham,2.402316093444824
No 10 olorunmbe Street wemabod Estate wahum bustop off Adeniyi Jones Ikeja.  Company name Skystar,ham,spam,2.3969833850860596
Your Acct 3041207489 Has Been Debited with NGN24.00 On 25-JAN-2014 05:21:56 By 27-Dec-2013 to 26-JAN-2014 SMS Alert Cha. Bal: NGN1,ham,spam,2.432060718536377
Transfer 08XXXXXX08 200 2580,ham,spam,2.38946533203125
Come to my office afta ur  class.,ham,spam,2.39961314201355
Ayo i make chichi yesterday i call to give u one bottle but u refuse to pick up ur call. thank u. I know we make agreement of not calling each other. I call to give not to disstop.,ham,spam,2.415862560272217
Watch Man Utd v Real Madrid LIVE on your mobile phone this Saturday using the ManU Club App! Text App to 5836 to download @ N50. Data charges apply. Glo!,spam,spam,2.4162368774414062
Acct: ******1736Amt: NGN60,ham,spam,2.380805492401123
You currently have an ACTIVE discount Notification. Dial *135*6# to turn this off.,spam,spam,2.3901734352111816
Yello! you have used 50% of your BB10 data plan,spam,spam,2.4031989574432373
Your Balances are BB Absolute/Complete: 1637MB till 16-Mar.,spam,spam,2.363269329071045
Colombia V Cote d'Ivoire 5PM,spam,spam,2.438870429992676
Hi dear was a morningg,ham,ham,2.3813116550445557
@CNNMoney: .@twitter's customer base is shrinking   https://t.co/flz3ibdZqO/s/1zHt https://t.co/XjJIUdzSAW/s/M_SL,spam,spam,2.4175941944122314
Hmmm...OK ooooo.extend my gritns 2 Solomon and medo,ham,spam,2.399137020111084
Yes 5th ave. It might take u abt 5mins to walk. You stay on the right side of 5th in d direction of the traffic. She will also call u,ham,ham,2.3881235122680664
Good morning sir. I'm Azeez Olatunji. CSC 400 level that missed your test when i went to kano. I'm just reminding you sir. Have a nice weekend.,ham,ham,2.3889036178588867
Name: Abiodun MscTel: 080XXXXX597Name: Abiodun Msc1Tel: 080XXXXXXX41,ham,spam,2.4160728454589844
GREAT NEWS!We celebrate Nigeria's 100 years &we give away the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777 & participate!N100/SMS,spam,spam,2.396165132522583
"Skillpolo invited you to Facebook. Learn more: http://fb.com/l/btkEH8MurM56Vm Reply ""stop"" to stop getting Facebook texts",spam,spam,2.404648542404175
Never run out of Airtime. Dial *500# to subscribe for automatic credit.,spam,spam,2.367706537246704
Please call me. 'Scape Goat remix'. by Dbanj & Kanye West is ready for download on MTN Play. Text 2 to 700 to get it for N75. MTN subscribers only,ham,spam,2.4204471111297607
Your Acct 3041207489 Has Been Credited with NGN6.64 On 01-JAN-2014 03:57:20 By 3041207489:Int.Pd:01-10-2013 to 31-12-20. Bal: NGN3,ham,spam,2.4243581295013428
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000005662856¿USSDAvail Bal: NGN47,ham,spam,2.3984599113464355
The password is horpybee and seminar on Ayandiran/bola print out,ham,spam,2.382441282272339
Alright sir,ham,ham,2.367372751235962
You GET INSTANT Double on ALL YOUR Recharges of N200 and Above to call all networks in 9ja. Bonus Valid for 7 days,ham,spam,2.4211082458496094
Your request is now being processed. Please do not send another. We will send you a confirmation once completed. Thank you!,spam,ham,2.380300283432007
Kindnez is a sign of man.D most xclent act iz 2gladen d @ of doz dear 2us.We seek Allah in His infinite mercy 2blez uz wif a kind @...Stay blezd & Jum@ karim!!!,ham,spam,2.4264869689941406
Wishing u best in ur presentation. Thot i'll be there but feeling somehow,ham,ham,2.366276979446411
Acct. No: 00XXXXXX59    acctname: adejimi alaba olusesi,ham,spam,2.419755458831787
Gtbank: 0112557059,ham,spam,2.398639678955078
Please call me VIP Offer: Hot Games!N20/day! Dial *522#,ham,spam,2.4019088745117188
Your Diamond Online/Mobile user name is tosrasheed.Set up your password within 30 days on the Diamond online log in screen to prevent account deactivation,spam,spam,2.3954877853393555
Get 75% bonus plus 5MB data on every recharge to call ANY network in Nigeria. Recharge N1000,spam,spam,2.4073052406311035
I will i ve not forgoten i know it my obligation i  shall fulfill it. Many thanks,ham,ham,2.386388063430786
ke your money work for you. Want to know how Text Money Shop today and stay ahead of the pack. Text YES to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,spam,spam,2.4152586460113525
What you get by achieving your goals is not as important as what you become by achieving your goals.How u change will stay with you forever!,spam,ham,2.383244752883911
miss you,ham,ham,2.3805625438690186
Send to   opakimzokay@gmail.com,ham,spam,2.401496171951294
Are U at sango now?,ham,ham,2.405817747116089
Your Acct 304XXXX489 Has Been Debited with NGN100.00 On 23-JUN-2014 17:44:09 By ATM PURCHASE-GTBank EBranch UNAAB/Ogun/O. Bal: NGN1,ham,spam,2.4053807258605957
Letin u no dt nobody reigns in my hrt yet but u,ham,spam,2.4021377563476562
Welcome! Your INFINIX HOT X507 cannot receive any settings. Please visit our web site,spam,spam,2.402756452560425
Dis wk u said,ham,ham,2.386483669281006
Your FB notifications for Today!!  1-friend request,spam,spam,2.406424045562744
Good morning sir. Will be coming with sis kelechi and Rolly.,ham,ham,2.372516632080078
081XXXXX256,ham,spam,2.4131524562835693
AlertZAcct:200**001DT:7/31/2014:11:33 AMPOS Intl- WWW.ALIEXPRESS.COM - 165EDR Amt:375.03Br:Head OfficeBal:71.83REF:335550066,ham,spam,2.4337878227233887
Finkn of a luvly 9te lyk diz wen i wl walk u down wif ur handz in mine 2a beautiful gardern just 2ask ow did ur day went?... Hopn u ar gud? Splndid 9te rest...,ham,spam,2.4074058532714844
Txn Id R140701.2311.220091 to recharge 45 NGN from 7087214890 is successful. New balance is 45 NGN,ham,spam,2.3944854736328125
"Get ""Ari Belema"" as your Callertune. Text 3 to 4100.Tune/service Cost N50 monthly.",spam,spam,2.3910276889801025
bros today na thursday o,ham,ham,2.377338171005249
If you reach camp enter oluwokesi if you Don reach there call my number or call 080XXXXXX99,ham,spam,2.407108783721924
Pls be informd dt we re contributing 2K each to help Adejimi 4 her recent health challenges.Ds is to be paid tmrw.Thanks,ham,spam,2.397623300552368
Its hapnin ds wk. RDEMPTN WK 2014. Theme: The True SeekerWord expositn by Rev Adetuberu by3:30pm Thur Hymnal evenin 6pmFri: Nyt of Power 10pm. Be there.,ham,spam,2.4280667304992676
Start your week as a champion with prayers From RHAPSODY of Realities for just N50! To enjoy,spam,spam,2.377736806869507
"Today is Akintunde Oluyomi Ariyor's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",spam,spam,2.397199869155884
ATTN:MEMBERS OF ASUU-UNAAB COOPERATIVE ONLY.Kindly leave out 1pm Wed,ham,spam,2.4010324478149414
Yello  welcome to MTN! Please SAVE the setup information that will be sent shortly,spam,spam,2.380478620529175
Gmawnin...pls cm 4 Sunday skool...hapi new mth,ham,spam,2.408088207244873
0130567609 GTBank Oluwole Paul,ham,spam,2.3989694118499756
A beautiful quote-If the loser keeps his smile,spam,ham,2.3793251514434814
Ma/sir,ham,spam,2.4060468673706055
Sometimes apologizing doesnt mean that ure wrong and the other is right. It only means that u value the relationship much more than ur ego!,spam,ham,2.394805669784546
Y'ello! Your data balance is 56.23MB,spam,spam,2.393008232116699
Your Music+ plan renewal failed due to insufficient balance & entered grace period. Please recharge & Click http://mpjamz.com/?c=9 to enjoy the music expiry,spam,spam,2.4193007946014404
If i were u,ham,ham,2.373354434967041
ALL IN ONE  OFFER !Recharge with N1000 & get 1GB Data + FREE N1000 airtime to call ALL Networks. Grab the OFFER NOW.,spam,spam,2.4314818382263184
Bless God...I will call Rolly very early tomorrow to confirm but I think yes. Will keep you posted. My regards to mummy and Ola.,ham,ham,2.376566171646118
Dear BOLAJI,ham,spam,2.4118196964263916
Nollywood actress,spam,spam,2.3914244174957275
It won't be funny if u keep on telling me that u are not coming and I later see u. If that is what they asked u to do,ham,ham,2.3915321826934814
My email address is tayoadaraloye@gmail.com,ham,ham,2.3766682147979736
I've already paid 4 d stuff and...I'm sorry i CNT leave it,ham,spam,2.4257447719573975
If your number ends in 5 &you received this SMS TODAY 07/07'Centenary World Cup' chose you to participate for N 100,spam,spam,2.4079749584198
Fun talks are not the only interesting things that you can have here. Call me now :) +41799771870,spam,spam,2.409986972808838
I priced it somewhere its 6k everywhere I can give him 7 that's what I can offer,ham,spam,2.3872323036193848
Acct: ******7609Amt: NGN20.00 DrDesc: COMMISSION-USSD GTBank Transfer Commission : 07037206811Avail Bal: NGN61,ham,spam,2.4149703979492188
Catch the latest gossip,spam,spam,2.3726587295532227
You transferred N100 to 0814XXXXX98 on 06/08/14 00:16. Your new account balance is N0. Thanks for using Share & Sell.,spam,spam,2.4100210666656494
You Have Already Opted Out of This Campaign,spam,spam,2.4067928791046143
D Lord is d effort crowner,ham,spam,2.388242721557617
8065941082,ham,spam,2.385963201522827
Good evening ma,ham,ham,2.391879081726074
2 Clubs,spam,spam,2.413760185241699
Bakare sulaimon gbolahan  0907it00804,ham,spam,2.3918709754943848
Get N200 Airtime when you Call 14120 today. Hurry,spam,spam,2.3916666507720947
Paul4all247@yahoo.com,ham,spam,2.409395694732666
Hi love,ham,ham,2.3772482872009277
Morning Paul need a favour pls,ham,ham,2.402362585067749
New vacancies at Standard Chartered Bank,spam,spam,2.3939578533172607
Plan,spam,ham,2.404916524887085
081XXXXXX17 called you on 03/09/2014 at 7:57 .Recharge N200 to get N500 worth of Airtime & 5MB data weekly on Easy Starter.,spam,spam,2.4278669357299805
6.02E+11,ham,spam,2.396235942840576
Download and dance to the videos of Aye,ham,spam,2.392270565032959
43956426649,ham,spam,2.403428792953491
Wishing u not just a smile but laught,ham,spam,2.4095680713653564
Evening sir...I know u will church now. I took 71b as directed by the port authority app on my phone to church. But found myself at around highland pack. The bus driver said it should have been 71A or 7C but am on my way back. Not sure if I will still be able to make it to church.,ham,ham,2.40268874168396
Airtel club 10: User361181 : unesco has said that India and Nigeria accounted for one third of child deaths worldwide,spam,spam,2.3882124423980713
Y'ello! Your data balance is 82.83MB,spam,spam,2.385244846343994
The goal of the CV is to get you an interview. Keep it targeted/enticing!For more tips from Phillips Consulting,spam,spam,2.4079184532165527
You can be the Lucky Winner of the Centenary Mega Jackpot of 100M Naira! To Celebrate Nigeria @ 100! Text 100 to 35777 NOW. Daily prizes still up for grabs.,spam,spam,2.4133424758911133
Good evening bros.. I don't know if you can please mail me Skystar profile.  Oluwolepaul@gmail.com  thanks,ham,spam,2.3995001316070557
May God shine his face on us as we commence the second half of 2014,ham,ham,2.384312152862549
Your Padi4Life benefit of half a million naira is renewed. You have paid (0) Days this week. Fees N20/day. To opt-out text STOP to 45433.,spam,spam,2.404677391052246
00XXXXXX4 obeka adakole christian gtbank,ham,spam,2.384516954421997
Gud afternoon I just wanted to ask when  are we going to get the balance of our wages,ham,spam,2.388828992843628
4.32E+11,ham,spam,2.408376455307007
Spectacular WC football moments in history at its best as we count down to the finals of this year's tournament! Reply WC @N50/Wk. Txt STOP to 33111 to OptOut,spam,spam,2.4279351234436035
Tanks. Wish u all da v.best too,ham,ham,2.3654515743255615
FOLAKE DEAR,ham,spam,2.4017014503479004
Fear less,spam,spam,2.4011359214782715
Monitor updates on traffic,ham,ham,2.3787472248077393
Good morning dear... I couldn't come bcos of d rain dat fell yesterday evening.. I'll see u after class 2mrw.. Thanks for helping me out.. See u soon,ham,ham,2.4087142944335938
MONTHLY,spam,spam,2.3826255798339844
OFFICIAL NIGERIA CENTENARY PROMO! N100m cash + 1CAR Daily & 563 OTHER WINNERS EVERYDAY!Enter NOW! Send WIN to 35777. SMS   N100. Live Draw on NTA   8pm daily.,spam,spam,2.4384028911590576
A leader is not a person who can perform better than his people- but someone who can inspire his people to perform better than himself.,spam,ham,2.38675594329834
There is one way to reach the hearts of people and that is first by reaching our own depth.,spam,ham,2.4048938751220703
Congratulations! Kanu has sellected your number to get a free subscription for a week to his service! Send KANU to 38255 & increase your possibilities to more!,spam,spam,2.392367362976074
Do you know you can get N1,ham,spam,2.394883155822754
Text to 229: 'SMART' for smartphone plans; 'MONTHLY' for monthly plans; 'MOBILE' for daily & weekly plans; 'fb' for facebook plans; 'OM' for Opera Mini plans,spam,spam,2.408135414123535
Yello! Do you know with N2015,spam,spam,2.388688802719116
Will soon be leaving now...which bus stop is closest to church,ham,ham,2.3903489112854004
1.Ivory Coast's Gbagbo to be tried at Hague for election violence 2.Iran deploys forces to fight insurgents in Iraq as U.S rule out putting troops back on the ground,spam,spam,2.4167609214782715
AIRTEL CLUB 10: User3061696 :  GODISABLE 2protect u & guard u 4rm ur enemies.believe in jesus and he will deliver you,spam,spam,2.417534112930298
Your Acct 304XXXX489 Has Been Debited with NGN1,ham,spam,2.3812549114227295
First Bank Panseke Branch is giving Naira Credit Card and Personal Loan Against Salary between 12 and 48 months.Call Francis 08062454742 OR Jumoke 08062124053.,ham,spam,2.4051685333251953
Acct Number-3065456289,ham,spam,2.4088757038116455
You mean a lot to me Angel. I can't hide my feeling for loving u.,ham,ham,2.3658618927001953
Oni Oluwatoyin Florence...01XXXXXX3. Happy new month.,ham,spam,2.4210410118103027
Hello Fola have tried ur nba but it's not responding. Happy new month.,ham,spam,2.3950228691101074
Come to the Bishopcourt in parakin. I suppose,ham,spam,2.4099652767181396
Dr. Oluwatope has directd dt it is compulsory 4evrybody 2com and demonstrat d project in his office on DE-2 Board unfailingly 12PM Thur 03-07-14 for grading.,ham,spam,2.3975229263305664
Dear Glo subscriber,spam,spam,2.362569808959961
Marouane Fellaini will bring something different to Manchester United this season,spam,ham,2.4187662601470947
God and Man shall favour you before the end of this year.If you believe and For more prayers.Text AMEN,spam,spam,2.4041330814361572
I am in the Pg Seminar Room,ham,ham,2.3683061599731445
Recharge Now to get 50% extra airtime when you recharge upto N100 this week(Mon to Sun). Bonus for calls to Airtel Nos.,ham,spam,2.4090607166290283
As we celebrate d birth of our lord jesus christ,ham,spam,2.405904531478882
For tips on how to enhance your prayer life,spam,ham,2.374671459197998
Y'ello,spam,ham,2.396355628967285
Acct: ******7609Amt: NGN1,ham,spam,2.429598569869995
You better live ur best and act ur best and think ur best today,spam,ham,2.3780503273010254
FUN/HOS/FIN/20132014/1/47890,ham,spam,2.4213080406188965
CONGRATS ! Your 200% BONUS account credited with N75.00 valid till 22/02/2016.To check bonus dial #122*2#.,spam,spam,2.3982458114624023
WhatsApp code 574-309,ham,spam,2.3970274925231934
Gud morng,ham,ham,2.373281240463257
Request processing.Please await confirmationvia SMS or dial *228# for data balance.Chat with Whatsapp,spam,spam,2.4240517616271973
Here is my no 07XXXXXX808,ham,spam,2.4001359939575195
EPL Week 2  Get Manchester Utd news & goal alerts as it happens.Text MU to 38400 & get 5Days free.Service will auto-renew   N50/5days.,spam,spam,2.40779447555542
Your Acct 304XXXX489 Has Been Debited with NGN3,ham,spam,2.396615505218506
Dear FUNAABites,ham,spam,2.3946011066436768
