text,true_label,svm_prediction,distilbert_prediction,svm_error,distilbert_error,both_wrong,models_disagree,text_length,word_count,has_url,has_phone_or_shortcode,has_money,has_promotion,has_urgency,has_financial,has_subscription,has_reward,has_question,has_exclamation,length_category,error_type
Stand a chance to Win a trip to Obudu Cattle Ranch and Colouful Calabar Carnival for 6 nights. Text XMAS to 35050 at N100 only!,1,1,1,False,False,False,False,127,25,False,True,False,True,False,False,False,False,False,True,Medium,Both Correct
Never run out of airtime! Dial *500# to subscribe for automatic credit.,1,1,0,False,True,False,True,71,12,False,True,True,False,False,True,True,False,False,True,Short,DistilBERT Wrong Only
Mr Solomon - 07XXXXXXX04,0,0,0,False,False,False,False,24,4,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Www.thisisgarena.com www.kevronconsultingltd.com www.upgrade101online.com  www.bmb.jcifunaab.com use this ones as reference for now,1,1,0,False,True,False,True,131,11,True,False,False,False,True,False,False,False,False,False,Medium,DistilBERT Wrong Only
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000005087426¿USSDAvail Bal: NGN107,0,0,0,False,False,False,False,107,8,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Olabisi I had left the place when your message came in,0,0,0,False,False,False,False,54,11,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Helooooo Sir.... I need the stuff nw!!!,0,0,0,False,False,False,False,39,7,False,False,False,False,False,False,False,False,False,True,Short,Both Correct
Evenin sis mi,0,0,0,False,False,False,False,13,3,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
I didn't say I don't love you all I said was that Am not ready and u should give me sometime since u said I Am not d person u love and u kept saying Am lying Fine you can just go,0,0,0,False,False,False,False,178,42,False,False,False,False,False,False,False,False,False,False,Long,Both Correct
Gud morning. pls get d address of d hotel /or how i can get taxi to d hotel n text me wit it.,0,0,0,False,False,False,False,93,23,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Acct: ******1736Amt: NGN33,0,0,0,False,False,False,False,26,3,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
17232759 03/09/14 22:08 Airtime Purchase 7030058860 to 8000000001 NGN 100 Fail17232755 03/09/14 22:08 Airtime Purchase 7030058860 to 8000000001 NGN 100 Fail,1,0,1,True,False,False,True,156,21,False,True,False,False,False,False,False,False,False,False,Medium,SVM Wrong Only
on ur way or not? it's getting dark,0,0,0,False,False,False,False,35,8,False,False,False,False,False,False,False,False,True,False,Short,Both Correct
G-312106 is your Google verification code.,1,1,1,False,False,False,False,42,6,False,True,False,False,False,False,False,False,False,False,Short,Both Correct
Ok you'll see me now try locate ecobank let's meet there,0,0,0,False,False,False,False,56,11,False,False,False,False,True,True,False,False,False,False,Short,Both Correct
Need airtime? Top up INSTANTLY with our magic code. Dial *919*Amount# to recharge your phone line. To top up for someone,1,1,1,False,False,False,False,120,21,False,False,False,False,False,False,False,False,True,False,Medium,Both Correct
Www.kevronconsultingltd.com,0,0,0,False,False,False,False,27,1,True,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Its tobi,0,0,0,False,False,False,False,8,2,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Y'ello! Your data balance is 250.33MB,1,1,1,False,False,False,False,37,6,False,False,False,False,False,True,False,False,False,True,Short,Both Correct
N100 was transferred to you from the 08068119076 on 19/07/14 07:48 via Share & Sell. Your new account balance is N120.39.,1,1,1,False,False,False,False,121,21,False,True,False,False,False,True,False,False,False,False,Medium,Both Correct
May this month deliver unto us all our outstanding victories.(amen). Happy new month brother,0,0,0,False,False,False,False,92,14,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Acct name: A.  ambroseAcct num: 00XXXXXX80 bank: gtb,0,0,0,False,False,False,False,52,8,False,False,False,False,False,True,False,False,False,False,Short,Both Correct
Txn Id R140704.1451.220105 to recharge 45 NGN from 7087214890 is successful. New balance is 48.24 NGN,0,0,0,False,False,False,False,101,16,False,True,False,False,False,True,False,False,False,False,Medium,Both Correct
Your FB notifications for Today!!  1-friend¿request,1,1,1,False,False,False,False,51,6,False,False,False,False,False,False,False,False,False,True,Short,Both Correct
"It is the season to get scriptures inspired by God. Claim 7days free of ""God's Word""",1,1,1,False,False,False,False,84,16,False,False,False,True,False,False,False,False,False,False,Medium,Both Correct
What Four Letter Word Begins With F And Ends With K,0,1,0,True,False,False,True,51,11,False,False,False,False,False,False,False,False,False,False,Short,SVM Wrong Only
SMART,1,1,1,False,False,False,False,5,1,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Welcome to Year Twenty Sixteen! God is walking with you. Your year shall be full of joy,0,1,1,True,True,True,False,87,17,False,False,False,False,False,False,False,False,False,True,Medium,Both Wrong
GOOD DAY MA. PLEASE U SHOULD NOT FORGET MY ENVELOP,0,0,0,False,False,False,False,50,10,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Sorry i went to d mosque dis is jubril mtn no 0813 940 7909,0,0,0,False,False,False,False,59,14,False,True,False,False,False,False,False,False,False,False,Short,Both Correct
Name:olayiwola Oluwafolake    Bank - gtb Account No - 00XXXXXX36,0,0,0,False,False,False,False,64,9,False,False,False,False,False,True,False,False,False,False,Short,Both Correct
You transferred N50 to 08XXXXXX508 on 17/06/14 08:46. Your new account balance is N0. Thanks for using Share & Sell.,1,1,1,False,False,False,False,116,20,False,False,False,False,False,True,False,False,False,False,Medium,Both Correct
Acct: ******1736Amt: NGN64.00 DrDesc: SI TRANSACTION (DIFFERENT CUSTOMERS)-SMS CHARGE FOR MAY 2014Avail Bal: NGN106,0,0,0,False,False,False,False,115,14,False,False,False,False,False,True,False,False,False,False,Medium,Both Correct
3.33E+11,0,0,1,False,True,False,True,8,1,False,False,False,False,False,False,False,False,False,False,Very Short,DistilBERT Wrong Only
Good morning pls do not forget the lamp o . Thanks God bless,0,0,0,False,False,False,False,60,13,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
oyegunleadedayo@yahoo.com,0,0,0,False,False,False,False,25,1,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Please call me. Watch Man U vs West Brom on Sat 7 November,1,0,0,True,True,True,False,58,13,False,False,False,False,False,False,False,False,False,False,Short,Both Wrong
Did u plan to see or have seen a prof Wosu on your ID?,0,0,0,False,False,False,False,54,14,False,False,False,False,False,False,False,False,True,False,Short,Both Correct
Please call me. I Love you. Watch Chelsea vs West Ham,0,0,0,False,False,False,False,53,11,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
williams Frank 07xxxxxxx344...akplor kingsley 081XXXXXX61,0,0,0,False,False,False,False,57,5,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
9.30E+14,0,0,1,False,True,False,True,8,1,False,False,False,False,False,False,False,False,False,False,Very Short,DistilBERT Wrong Only
Does your number end in 9?TODAY 25/07you're chosen to participate for the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777!N100/SMS,1,1,1,False,False,False,False,151,22,False,True,False,True,False,False,False,False,True,True,Medium,Both Correct
Dude,0,0,0,False,False,False,False,4,1,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Its not the strongest of species that survives,1,0,1,True,False,False,True,46,8,False,False,False,False,False,False,False,False,False,False,Short,SVM Wrong Only
Ese o. Shey e ti ka darda sha,0,0,0,False,False,False,False,29,8,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Amen and Amen. Tnx 4 ever bn there,0,0,0,False,False,False,False,34,8,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Acct: ******2491Amt: NGN200.00 DrDesc: POS-GTBank EBranch UNAAB   Ogun    OGNG STAN9999006519Avail Bal: NGN7,0,0,0,False,False,False,False,108,12,False,False,False,False,False,True,False,False,False,False,Medium,Both Correct
Full Crunch: Lie on your back and raise your legs,1,1,1,False,False,False,False,49,10,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Dr adesina gave us apptmnt for 12pm in his office,0,0,0,False,False,False,False,49,10,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Get the latest sports news daily ranging from football,1,1,1,False,False,False,False,54,9,False,False,False,False,False,False,True,False,False,False,Short,Both Correct
When comparing your life with others,1,1,1,False,False,False,False,36,6,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
PUNCH NEWSSUNDAY,1,1,1,False,False,False,False,16,2,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
Y.ello Peeps!Watch the exciting MTN Project Fame 7.0 Elimination Show on Sat: NTA(5:30-6:30pm),1,1,1,False,False,False,False,94,13,False,False,False,False,False,False,False,False,False,True,Medium,Both Correct
A good relation does not depends on how good understanding we have,1,0,1,True,False,False,True,66,12,False,False,False,False,False,False,False,False,False,False,Short,SVM Wrong Only
Are u not hungry yet?,0,0,0,False,False,False,False,21,5,False,False,False,False,False,False,False,False,True,False,Very Short,Both Correct
May d peace of God Almighty b wit,0,0,0,False,False,False,False,33,8,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Pls bring d cooler....or bring d ewa...pls call me,0,0,0,False,False,False,False,50,9,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Each moment in a day has  its own value,0,0,1,False,True,False,True,39,9,False,False,False,False,False,False,False,False,False,False,Short,DistilBERT Wrong Only
No 10 olorunmbe Street wemabod Estate wahum bustop off Adeniyi Jones Ikeja.  Company name Skystar,0,0,0,False,False,False,False,97,15,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Your Acct 3041207489 Has Been Debited with NGN24.00 On 25-JAN-2014 05:21:56 By 27-Dec-2013 to 26-JAN-2014 SMS Alert Cha. Bal: NGN1,0,0,0,False,False,False,False,130,20,False,True,False,False,False,False,False,False,False,False,Medium,Both Correct
Transfer 08XXXXXX08 200 2580,0,0,0,False,False,False,False,28,4,False,True,False,False,False,False,False,False,False,False,Very Short,Both Correct
Come to my office afta ur  class.,0,0,0,False,False,False,False,33,7,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Ayo i make chichi yesterday i call to give u one bottle but u refuse to pick up ur call. thank u. I know we make agreement of not calling each other. I call to give not to disstop.,0,0,0,False,False,False,False,180,39,False,False,False,False,True,False,False,False,False,False,Long,Both Correct
Watch Man Utd v Real Madrid LIVE on your mobile phone this Saturday using the ManU Club App! Text App to 5836 to download @ N50. Data charges apply. Glo!,1,1,1,False,False,False,False,153,30,False,True,False,False,False,False,False,False,False,True,Medium,Both Correct
Acct: ******1736Amt: NGN60,0,0,0,False,False,False,False,26,3,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
You currently have an ACTIVE discount Notification. Dial *135*6# to turn this off.,1,1,1,False,False,False,False,82,13,False,True,False,True,False,False,False,False,False,False,Medium,Both Correct
Yello! you have used 50% of your BB10 data plan,1,1,1,False,False,False,False,47,10,False,False,False,False,False,False,False,False,False,True,Short,Both Correct
Your Balances are BB Absolute/Complete: 1637MB till 16-Mar.,1,1,1,False,False,False,False,59,8,False,False,False,False,False,True,False,False,False,False,Short,Both Correct
Colombia V Cote d'Ivoire 5PM,1,0,1,True,False,False,True,28,5,False,False,False,False,False,False,False,False,False,False,Very Short,SVM Wrong Only
Hi dear was a morningg,0,0,0,False,False,False,False,22,5,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
@CNNMoney: .@twitter's customer base is shrinking   https://t.co/flz3ibdZqO/s/1zHt https://t.co/XjJIUdzSAW/s/M_SL,1,1,1,False,False,False,False,113,8,True,False,True,False,False,False,False,False,False,False,Medium,Both Correct
Hmmm...OK ooooo.extend my gritns 2 Solomon and medo,0,0,0,False,False,False,False,51,8,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Yes 5th ave. It might take u abt 5mins to walk. You stay on the right side of 5th in d direction of the traffic. She will also call u,0,0,0,False,False,False,False,133,30,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Good morning sir. I'm Azeez Olatunji. CSC 400 level that missed your test when i went to kano. I'm just reminding you sir. Have a nice weekend.,0,0,0,False,False,False,False,143,27,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Name: Abiodun MscTel: 080XXXXX597Name: Abiodun Msc1Tel: 080XXXXXXX41,0,0,0,False,False,False,False,68,7,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
GREAT NEWS!We celebrate Nigeria's 100 years &we give away the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777 & participate!N100/SMS,1,1,1,False,False,False,False,153,22,False,True,False,True,False,False,False,False,False,True,Medium,Both Correct
"Skillpolo invited you to Facebook. Learn more: http://fb.com/l/btkEH8MurM56Vm Reply ""stop"" to stop getting Facebook texts",1,1,1,False,False,False,False,121,15,True,False,False,False,False,False,False,False,False,False,Medium,Both Correct
Never run out of Airtime. Dial *500# to subscribe for automatic credit.,1,1,0,False,True,False,True,71,12,False,True,True,False,False,True,True,False,False,False,Short,DistilBERT Wrong Only
Please call me. 'Scape Goat remix'. by Dbanj & Kanye West is ready for download on MTN Play. Text 2 to 700 to get it for N75. MTN subscribers only,0,1,1,True,True,True,False,146,30,False,False,False,False,False,False,True,False,False,False,Medium,Both Wrong
Your Acct 3041207489 Has Been Credited with NGN6.64 On 01-JAN-2014 03:57:20 By 3041207489:Int.Pd:01-10-2013 to 31-12-20. Bal: NGN3,0,0,0,False,False,False,False,130,17,False,True,True,False,False,True,False,False,False,False,Medium,Both Correct
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000005662856¿USSDAvail Bal: NGN47,0,0,0,False,False,False,False,106,8,False,False,False,False,False,False,False,False,False,False,Medium,Both Correct
The password is horpybee and seminar on Ayandiran/bola print out,0,0,0,False,False,False,False,64,10,False,False,False,False,False,False,False,False,False,False,Short,Both Correct
Alright sir,0,0,0,False,False,False,False,11,2,False,False,False,False,False,False,False,False,False,False,Very Short,Both Correct
