text,true_label,svm_prediction,distilbert_prediction,svm_error,distilbert_error,both_wrong,models_disagree
Your Acct 3041207489 Has Been Credited with NGN6.64 On 01-JAN-2014 03:57:20 By 3041207489:Int.Pd:01-10-2013 to 31-12-20. Bal: NGN3,0,0,0,False,False,False,False
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000005662856¿USSDAvail Bal: NGN47,0,0,0,False,False,False,False
The password is horpybee and seminar on Ayandiran/bola print out,0,0,0,False,False,False,False
Alright sir,0,0,0,False,False,False,False
You GET INSTANT Double on ALL YOUR Recharges of N200 and Above to call all networks in 9ja. Bonus Valid for 7 days,0,1,1,True,True,True,False
Your request is now being processed. Please do not send another. We will send you a confirmation once completed. Thank you!,1,0,1,True,False,False,True
Kindnez is a sign of man.D most xclent act iz 2gladen d @ of doz dear 2us.We seek Allah in His infinite mercy 2blez uz wif a kind @...Stay blezd & Jum@ karim!!!,0,0,0,False,False,False,False
Wishing u best in ur presentation. Thot i'll be there but feeling somehow,0,0,0,False,False,False,False
Acct. No: 00XXXXXX59    acctname: adejimi alaba olusesi,0,0,0,False,False,False,False
Gtbank: 0112557059,0,0,0,False,False,False,False
Please call me VIP Offer: Hot Games!N20/day! Dial *522#,0,1,0,True,False,False,True
Your Diamond Online/Mobile user name is tosrasheed.Set up your password within 30 days on the Diamond online log in screen to prevent account deactivation,1,1,1,False,False,False,False
Get 75% bonus plus 5MB data on every recharge to call ANY network in Nigeria. Recharge N1000,1,1,1,False,False,False,False
I will i ve not forgoten i know it my obligation i  shall fulfill it. Many thanks,0,0,0,False,False,False,False
ke your money work for you. Want to know how Text Money Shop today and stay ahead of the pack. Text YES to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,1,1,1,False,False,False,False
What you get by achieving your goals is not as important as what you become by achieving your goals.How u change will stay with you forever!,1,1,1,False,False,False,False
miss you,0,0,0,False,False,False,False
Send to   opakimzokay@gmail.com,0,0,0,False,False,False,False
Are U at sango now?,0,0,0,False,False,False,False
Your Acct 304XXXX489 Has Been Debited with NGN100.00 On 23-JUN-2014 17:44:09 By ATM PURCHASE-GTBank EBranch UNAAB/Ogun/O. Bal: NGN1,0,0,0,False,False,False,False
Letin u no dt nobody reigns in my hrt yet but u,0,0,0,False,False,False,False
Welcome! Your INFINIX HOT X507 cannot receive any settings. Please visit our web site,1,1,1,False,False,False,False
Dis wk u said,0,0,0,False,False,False,False
Your FB notifications for Today!!  1-friend request,1,1,1,False,False,False,False
Good morning sir. Will be coming with sis kelechi and Rolly.,0,0,0,False,False,False,False
081XXXXX256,0,0,0,False,False,False,False
AlertZAcct:200**001DT:7/31/2014:11:33 AMPOS Intl- WWW.ALIEXPRESS.COM - 165EDR Amt:375.03Br:Head OfficeBal:71.83REF:335550066,0,0,0,False,False,False,False
Finkn of a luvly 9te lyk diz wen i wl walk u down wif ur handz in mine 2a beautiful gardern just 2ask ow did ur day went?... Hopn u ar gud? Splndid 9te rest...,0,0,0,False,False,False,False
Txn Id R140701.2311.220091 to recharge 45 NGN from 7087214890 is successful. New balance is 45 NGN,0,0,0,False,False,False,False
"Get ""Ari Belema"" as your Callertune. Text 3 to 4100.Tune/service Cost N50 monthly.",1,1,1,False,False,False,False
bros today na thursday o,0,0,0,False,False,False,False
If you reach camp enter oluwokesi if you Don reach there call my number or call 080XXXXXX99,0,0,0,False,False,False,False
Pls be informd dt we re contributing 2K each to help Adejimi 4 her recent health challenges.Ds is to be paid tmrw.Thanks,0,0,0,False,False,False,False
Its hapnin ds wk. RDEMPTN WK 2014. Theme: The True SeekerWord expositn by Rev Adetuberu by3:30pm Thur Hymnal evenin 6pmFri: Nyt of Power 10pm. Be there.,0,0,0,False,False,False,False
Start your week as a champion with prayers From RHAPSODY of Realities for just N50! To enjoy,1,1,1,False,False,False,False
"Today is Akintunde Oluyomi Ariyor's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",1,1,1,False,False,False,False
ATTN:MEMBERS OF ASUU-UNAAB COOPERATIVE ONLY.Kindly leave out 1pm Wed,0,0,0,False,False,False,False
Yello  welcome to MTN! Please SAVE the setup information that will be sent shortly,1,1,1,False,False,False,False
Gmawnin...pls cm 4 Sunday skool...hapi new mth,0,0,0,False,False,False,False
0130567609 GTBank Oluwole Paul,0,0,0,False,False,False,False
A beautiful quote-If the loser keeps his smile,1,0,1,True,False,False,True
Ma/sir,0,0,0,False,False,False,False
Sometimes apologizing doesnt mean that ure wrong and the other is right. It only means that u value the relationship much more than ur ego!,1,0,0,True,True,True,False
Y'ello! Your data balance is 56.23MB,1,1,1,False,False,False,False
Your Music+ plan renewal failed due to insufficient balance & entered grace period. Please recharge & Click http://mpjamz.com/?c=9 to enjoy the music expiry,1,1,1,False,False,False,False
If i were u,0,0,0,False,False,False,False
ALL IN ONE  OFFER !Recharge with N1000 & get 1GB Data + FREE N1000 airtime to call ALL Networks. Grab the OFFER NOW.,1,1,1,False,False,False,False
Bless God...I will call Rolly very early tomorrow to confirm but I think yes. Will keep you posted. My regards to mummy and Ola.,0,0,0,False,False,False,False
Dear BOLAJI,0,0,0,False,False,False,False
Nollywood actress,1,0,1,True,False,False,True
It won't be funny if u keep on telling me that u are not coming and I later see u. If that is what they asked u to do,0,0,0,False,False,False,False
My email address is tayoadaraloye@gmail.com,0,0,0,False,False,False,False
I've already paid 4 d stuff and...I'm sorry i CNT leave it,0,0,0,False,False,False,False
If your number ends in 5 &you received this SMS TODAY 07/07'Centenary World Cup' chose you to participate for N 100,1,1,1,False,False,False,False
Fun talks are not the only interesting things that you can have here. Call me now :) +41799771870,1,0,0,True,True,True,False
I priced it somewhere its 6k everywhere I can give him 7 that's what I can offer,0,0,0,False,False,False,False
Acct: ******7609Amt: NGN20.00 DrDesc: COMMISSION-USSD GTBank Transfer Commission : 07037206811Avail Bal: NGN61,0,0,0,False,False,False,False
Catch the latest gossip,1,0,1,True,False,False,True
You transferred N100 to 0814XXXXX98 on 06/08/14 00:16. Your new account balance is N0. Thanks for using Share & Sell.,1,1,1,False,False,False,False
You Have Already Opted Out of This Campaign,1,0,1,True,False,False,True
D Lord is d effort crowner,0,1,0,True,False,False,True
8065941082,0,0,0,False,False,False,False
Good evening ma,0,0,0,False,False,False,False
2 Clubs,1,0,1,True,False,False,True
Bakare sulaimon gbolahan  0907it00804,0,0,0,False,False,False,False
Get N200 Airtime when you Call 14120 today. Hurry,1,0,0,True,True,True,False
Paul4all247@yahoo.com,0,0,0,False,False,False,False
Hi love,0,0,0,False,False,False,False
Morning Paul need a favour pls,0,0,0,False,False,False,False
New vacancies at Standard Chartered Bank,1,0,1,True,False,False,True
Plan,1,0,1,True,False,False,True
081XXXXXX17 called you on 03/09/2014 at 7:57 .Recharge N200 to get N500 worth of Airtime & 5MB data weekly on Easy Starter.,1,1,1,False,False,False,False
6.02E+11,0,0,1,False,True,False,True
Download and dance to the videos of Aye,0,0,1,False,True,False,True
43956426649,0,0,0,False,False,False,False
Wishing u not just a smile but laught,0,0,0,False,False,False,False
Evening sir...I know u will church now. I took 71b as directed by the port authority app on my phone to church. But found myself at around highland pack. The bus driver said it should have been 71A or 7C but am on my way back. Not sure if I will still be able to make it to church.,0,0,0,False,False,False,False
Airtel club 10: User361181 : unesco has said that India and Nigeria accounted for one third of child deaths worldwide,1,1,1,False,False,False,False
Y'ello! Your data balance is 82.83MB,1,1,1,False,False,False,False
The goal of the CV is to get you an interview. Keep it targeted/enticing!For more tips from Phillips Consulting,1,1,1,False,False,False,False
You can be the Lucky Winner of the Centenary Mega Jackpot of 100M Naira! To Celebrate Nigeria @ 100! Text 100 to 35777 NOW. Daily prizes still up for grabs.,1,1,1,False,False,False,False
Good evening bros.. I don't know if you can please mail me Skystar profile.  Oluwolepaul@gmail.com  thanks,0,0,0,False,False,False,False
May God shine his face on us as we commence the second half of 2014,0,0,0,False,False,False,False
Your Padi4Life benefit of half a million naira is renewed. You have paid (0) Days this week. Fees N20/day. To opt-out text STOP to 45433.,1,1,1,False,False,False,False
00XXXXXX4 obeka adakole christian gtbank,0,0,0,False,False,False,False
Gud afternoon I just wanted to ask when  are we going to get the balance of our wages,0,0,0,False,False,False,False
4.32E+11,0,0,1,False,True,False,True
Spectacular WC football moments in history at its best as we count down to the finals of this year's tournament! Reply WC @N50/Wk. Txt STOP to 33111 to OptOut,1,1,1,False,False,False,False
Tanks. Wish u all da v.best too,0,0,0,False,False,False,False
FOLAKE DEAR,0,0,0,False,False,False,False
Fear less,1,1,1,False,False,False,False
Monitor updates on traffic,0,1,1,True,True,True,False
Good morning dear... I couldn't come bcos of d rain dat fell yesterday evening.. I'll see u after class 2mrw.. Thanks for helping me out.. See u soon,0,0,0,False,False,False,False
MONTHLY,1,1,1,False,False,False,False
OFFICIAL NIGERIA CENTENARY PROMO! N100m cash + 1CAR Daily & 563 OTHER WINNERS EVERYDAY!Enter NOW! Send WIN to 35777. SMS   N100. Live Draw on NTA   8pm daily.,1,1,1,False,False,False,False
A leader is not a person who can perform better than his people- but someone who can inspire his people to perform better than himself.,1,1,1,False,False,False,False
There is one way to reach the hearts of people and that is first by reaching our own depth.,1,1,1,False,False,False,False
Congratulations! Kanu has sellected your number to get a free subscription for a week to his service! Send KANU to 38255 & increase your possibilities to more!,1,1,1,False,False,False,False
Do you know you can get N1,0,0,0,False,False,False,False
Text to 229: 'SMART' for smartphone plans; 'MONTHLY' for monthly plans; 'MOBILE' for daily & weekly plans; 'fb' for facebook plans; 'OM' for Opera Mini plans,1,1,1,False,False,False,False
Yello! Do you know with N2015,1,1,1,False,False,False,False
Will soon be leaving now...which bus stop is closest to church,0,0,0,False,False,False,False
1.Ivory Coast's Gbagbo to be tried at Hague for election violence 2.Iran deploys forces to fight insurgents in Iraq as U.S rule out putting troops back on the ground,1,0,1,True,False,False,True
AIRTEL CLUB 10: User3061696 :  GODISABLE 2protect u & guard u 4rm ur enemies.believe in jesus and he will deliver you,1,1,1,False,False,False,False
Your Acct 304XXXX489 Has Been Debited with NGN1,0,0,0,False,False,False,False
First Bank Panseke Branch is giving Naira Credit Card and Personal Loan Against Salary between 12 and 48 months.Call Francis 08062454742 OR Jumoke 08062124053.,0,0,1,False,True,False,True
Acct Number-3065456289,0,0,0,False,False,False,False
You mean a lot to me Angel. I can't hide my feeling for loving u.,0,0,0,False,False,False,False
Oni Oluwatoyin Florence...01XXXXXX3. Happy new month.,0,0,0,False,False,False,False
Hello Fola have tried ur nba but it's not responding. Happy new month.,0,0,0,False,False,False,False
Come to the Bishopcourt in parakin. I suppose,0,0,0,False,False,False,False
Dr. Oluwatope has directd dt it is compulsory 4evrybody 2com and demonstrat d project in his office on DE-2 Board unfailingly 12PM Thur 03-07-14 for grading.,0,0,0,False,False,False,False
Dear Glo subscriber,1,1,0,False,True,False,True
Marouane Fellaini will bring something different to Manchester United this season,1,1,1,False,False,False,False
God and Man shall favour you before the end of this year.If you believe and For more prayers.Text AMEN,1,1,0,False,True,False,True
I am in the Pg Seminar Room,0,0,0,False,False,False,False
Recharge Now to get 50% extra airtime when you recharge upto N100 this week(Mon to Sun). Bonus for calls to Airtel Nos.,0,0,0,False,False,False,False
As we celebrate d birth of our lord jesus christ,0,0,0,False,False,False,False
For tips on how to enhance your prayer life,1,1,1,False,False,False,False
Y'ello,1,1,1,False,False,False,False
Acct: ******7609Amt: NGN1,0,0,0,False,False,False,False
You better live ur best and act ur best and think ur best today,1,0,0,True,True,True,False
FUN/HOS/FIN/20132014/1/47890,0,0,1,False,True,False,True
CONGRATS ! Your 200% BONUS account credited with N75.00 valid till 22/02/2016.To check bonus dial #122*2#.,1,1,1,False,False,False,False
WhatsApp code 574-309,0,1,1,True,True,True,False
Gud morng,0,0,0,False,False,False,False
Request processing.Please await confirmationvia SMS or dial *228# for data balance.Chat with Whatsapp,1,1,0,False,True,False,True
Here is my no 07XXXXXX808,0,0,0,False,False,False,False
EPL Week 2  Get Manchester Utd news & goal alerts as it happens.Text MU to 38400 & get 5Days free.Service will auto-renew   N50/5days.,1,1,1,False,False,False,False
Your Acct 304XXXX489 Has Been Debited with NGN3,0,0,0,False,False,False,False
Dear FUNAABites,0,0,0,False,False,False,False
"Extension of subscription! 7 Health Wellness tips will be yours at a cost of N100! Bonus tip: ""Scrabble game stimulates the mind"". For details text INFO to 7804",1,1,1,False,False,False,False
fine ma,0,0,0,False,False,False,False
